Hallway Type,Time To Subway St.,Subway Station,No. Facilities Nearby,No. Public Offices Nearby,No. Universities Nearby,No. Parking Lots,Year Built,No. Facilities Inside,Unit Area (sqft),Sale Price (KRW)
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,141150
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,250176
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,56637
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,242035
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,432743
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,274336
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,74256
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,195575
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,84955
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,147761
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,143389
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,130973
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,79646
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,151327
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,295460
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,206,72920
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,495575
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,89380
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,353982
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,277876
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,285840
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,280530
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,228318
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,469026
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,324778
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,75221
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,343362
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,159292
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,265486
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,318584
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,371681
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,380530
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,1252,460176
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,451,53097
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,376106
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,147141
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,66371
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,256637
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,203539
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,181415
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,334513
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,186725
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,153097
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,676,72566
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,168761
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,402654
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,278761
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,252212
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,370796
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,424778
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,383185
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,251327
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,47787
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,77876
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,262831
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,291150
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,143362
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,199115
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,159292
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,192035
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,44247
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,229106
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,205309
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,74336
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,349557
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,241592
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,238938
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,374336
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,265486
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,163716
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,193769
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,265486
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,362831
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,186725
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,243362
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,426,98477
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,34513
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,281,104424
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,256637
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,362831
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,442477
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,1327,169911
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,337168
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1092,415929
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,169026
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,228761
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,907,337168
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,132743
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,448672
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,53097
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,199115
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,462831
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,181061
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,255442
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,178761
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,170796
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,183185
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,207079
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,274336
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,422123
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,271681
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,558,78761
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,57964
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,298230
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,162831
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,119469
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,181415
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,183628
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,141592
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,300884
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,53274
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,132743
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,392035
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,101769
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,198256
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,307079
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,254867
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,348283
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,157522
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,291150
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1088,470796
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,222123
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,185840
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,252814
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,317699
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,38938
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,227433
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,230088
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,644,283185
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,252814
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,274336
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,107964
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,240707
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,168141
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,194690
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,271681
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,281415
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,66371
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,167964
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,261061
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,271681
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,118584
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,115486
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,194690
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,250442
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,174336
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,307964
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,293805
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,228318
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,82300
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,355752
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,348672
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,105752
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,261061
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,252212
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,292035
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,413274
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,331858
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,215486
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,225663
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,61946
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,194690
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,73840
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,324778
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,914,90707
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,196460
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,212389
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,110619
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,60176
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,325663
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,169026
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,188495
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,183185
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,349557
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,176991
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,75088
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,168141
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,283185
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,345132
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,105309
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,78318
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,115044
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,294690
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,318584
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,197345
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,315929
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,234513
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,188495
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,150778
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,176991
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,287610
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1291,463716
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,2092,300884
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,210619
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,914,178761
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,162831
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,146017
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,318584
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,243362
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,121238
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,75504
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,81415
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,199115
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,274336
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,274336
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,88495
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,309734
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,215044
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,676,70796
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,871,104867
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,247787
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,252212
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,203539
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,154867
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,469026
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,338053
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,228318
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,201769
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,415044
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,914,198451
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,1092,414159
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,154867
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,149557
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,309734
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,167256
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,95575
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,300884
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,260707
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,171681
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,247787
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,296460
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,39823
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,352212
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,914,200522
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,172566
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,362831
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,192035
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,348672
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,310309
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,141592
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,74672
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,314159
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,261061
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,243362
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,161061
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,206194
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,169469
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,108849
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,207522
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,131858
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,371681
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,242035
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,157522
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,318584
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,261061
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,305309
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,115044
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,426,96469
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,172566
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,232743
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,148672
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,212389
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,83185
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,331858
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,165486
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,163716
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,296460
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,644,146256
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,90707
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,197345
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,216814
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,292035
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,414159
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,169026
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,225663
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,371681
